news,,,
"Pooja Hegde: ಸೀತಾ ರಾಮಂ ಸಿನಿಮಾದ ಚಾನ್ಸ್ ಮಿಸ್ ಮಾಡಿಕೊಂಡ ಪೂಜಾ, ಈ ಒಂದೇ ಒಂದು ಕಾರಣಕ್ಕಂತೆ",,,
Congress Tweet: ಹೆಣ ಕಂಡ್ರೆ ಓಡೋಡಿ ಬರೋ ಶೋಭಾ ಕರಂದ್ಲಾಜೆ ಸಮಸ್ಯೆಗಳಿಗೆ ಬಾಯಿ ಬಿಡಲ್ಲ ಯಾಕೆ?,,,
Monsoon Tips: ಮಳೆಗಾಲದಲ್ಲಿ ಮನೆಯಿಂದ ಹೊರ ಹೋಗುವಾಗ ಇವುಗಳ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ,,,
"Aamir Khan: ನಟ ಆಮಿರ್ ತಮ್ಮ ಮಕ್ಕಳ ಜೊತೆ ಹೆಚ್ಚು ಸಮಯ ಕಳೆದಿಲ್ವಂತೆ, ಕಾರಣ ಕೇಳಿ",,,
Heavy Rain: ಮಳೆಯಿಂದ ಬಿದ್ದೋಯ್ತು ಮನೆ; ಕೇಳೋರಿಲ್ಲ ಮುಷ್ಟೂರು ಜನರ ನರಕಯಾತನೆ,,,
Shani Dev: ಶನಿದೇವನ ಹಿಮ್ಮುಖ ಚಲನೆ: ಈ 4 ರಾಶಿಯವರು ಎಚ್ಚರದಿಂದ ಇರಬೇಕು,,,
"Bigg Boss OTT: ಮೊದಲ ವಾರವೇ ಸೋನು ಗೌಡ ನಾಮಿನೇಟ್, ಶುರುವಾಯ್ತು ಬಿಗ್​ ಬಾಸ್​ ಮನೆಯಲ್ಲಿ ವಾರ್​",,,
"Udupi: ಕಾಮನ್​ವೆಲ್ತ್​​ ಗೇಮ್ಸ್​ನಲ್ಲಿ ಪದಕ ಗೆದ್ದು ಬಂದ ಗುರುರಾಜ್ ಪೂಜಾರಿ, ಸರ್ಕಾರದ ವಿರುದ್ಧ ಬೇಸರ",,,
Hubballi: ಮಾಜಿ ಸ್ಪೀಕರ್​ ಬಸವರಾಜ ಹೊರಟ್ಟಿ ಕಾರು ಅಪಘಾತ; ಕ್ಷುಲ್ಲಕ ಕಾರಣಕ್ಕೆ ಆಟೋ ಚಾಲಕನಿಗೆ ಚಾಕು ಇರಿತ,,,
